route_path,http_methods,file_path,fastapi_dependency,complexity_score,supabase_tables,migration_priority
"/api/teams/crews/:id","GET,PUT,DELETE","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/teams/crews/[id]/route.ts","FULL_FASTAPI",5,"","P1"
"/api/auth/login","POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/auth/login/route.ts","FULL_FASTAPI",4,"","P1"
"/api/activities","GET,POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/activities/route.ts","FULL_FASTAPI",4,"","P1"
"/api/work-entries","GET,POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/work-entries/route.ts","FULL_FASTAPI",4,"","P1"
"/api/users","GET,POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/users/route.ts","FULL_FASTAPI",4,"","P1"
"/api/teams/crews","GET,POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/teams/crews/route.ts","FULL_FASTAPI",4,"","P1"
"/api/projects","GET,POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/projects/route.ts","HYBRID",8,"projects","P2"
"/api/equipment","GET,POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/equipment/route.ts","HYBRID",7,"equipment","P2"
"/api/users/:id/documents","GET,POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/users/[id]/documents/route.ts","SUPABASE_ONLY",10,"","P4"
"/api/upload","GET,POST,DELETE","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/upload/route.ts","SUPABASE_ONLY",10,"","P4"
"/api/materials/orders","GET,POST,PUT","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/materials/orders/route.ts","SUPABASE_ONLY",8,"","P4"
"/api/documents","GET,POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/documents/route.ts","SUPABASE_ONLY",8,"","P4"
"/api/vehicles/assignments","GET,POST,PUT,DELETE","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/vehicles/assignments/route.ts","SUPABASE_ONLY",8,"","P4"
"/api/upload/project-photos","GET,POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/upload/project-photos/route.ts","SUPABASE_ONLY",8,"","P4"
"/api/upload/work-photos","GET,POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/upload/work-photos/route.ts","SUPABASE_ONLY",8,"","P4"
"/api/material-allocations","GET,POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/material-allocations/route.ts","SUPABASE_ONLY",7,"","P4"
"/api/materials","GET,POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/materials/route.ts","SUPABASE_ONLY",7,"","P4"
"/api/documents/search","GET","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/documents/search/route.ts","SUPABASE_ONLY",7,"","P4"
"/api/notifications","GET,POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/notifications/route.ts","SUPABASE_ONLY",7,"","P4"
"/api/material-orders","GET,POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/material-orders/route.ts","SUPABASE_ONLY",7,"","P4"
"/api/vehicles","GET,POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/vehicles/route.ts","SUPABASE_ONLY",7,"","P4"
"/api/materials/allocations/:id","GET,PUT,DELETE","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/materials/allocations/[id]/route.ts","SUPABASE_ONLY",6,"","P4"
"/api/materials/orders/:id","GET,PUT,DELETE","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/materials/orders/[id]/route.ts","SUPABASE_ONLY",6,"","P4"
"/api/materials/:id","GET,PUT,DELETE","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/materials/[id]/route.ts","SUPABASE_ONLY",6,"","P4"
"/api/suppliers/:id","GET,PUT,DELETE","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/suppliers/[id]/route.ts","SUPABASE_ONLY",6,"","P4"
"/api/projects/:id","GET,PUT,DELETE","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/projects/[id]/route.ts","SUPABASE_ONLY",6,"","P4"
"/api/transactions","GET,POST","/Users/iacob/Documents/cometa-separated-projects/cometa-frontend-nextjs/src/app/api/transactions/route.ts","SUPABASE_ONLY",6,"","P4"
